Id,SalePrice
1461,120420.65548861143
1462,153867.56429786692
1463,185515.0017851347
1464,199064.68445176864
1465,201164.8508381158
1466,170142.1284781194
1467,177068.82250819218
1468,160283.46285852557
1469,196362.73773519273
1470,122732.60040202735
1471,174071.25457116123
1472,96637.04135005208
1473,95100.50053117027
1474,143031.9252059882
1475,105041.28696916415
1476,359734.7819500122
1477,252010.7660845887
1478,310871.281515027
1479,305259.8069653898
1480,485332.9052915214
1481,333651.02346912475
1482,212341.41140401005
1483,182479.84834267624
1484,160908.85682769632
1485,193978.41041067996
1486,190493.24050748482
1487,347083.635253098
1488,238316.98459742134
1489,192622.53905350404
1490,250862.54508746584
1491,195445.16656713703
1492,96356.39501297215
1493,184182.474427503
1494,306376.4595157527
1495,290297.27084522566
1496,235104.66819248715
1497,182994.9584341594
1498,191688.43456426274
1499,172525.43214057013
1500,160465.41738148566
1501,176340.75662071785
1502,140880.99613090628
1503,308555.80647270876
1504,240717.55049259847
1505,229480.81044816252
1506,189170.31042713282
1507,240252.7702031091
1508,200494.3225480562
1509,157460.07580424132
1510,146406.86736220852
1511,167369.4505863726
1512,172858.83475178198
1513,149686.92218061566
1514,158806.55126904912
1515,186150.7471536926
1516,154618.25996523615
1517,172322.59494935637
1518,129899.3955828506
1519,204895.63926759214
1520,127393.93369491168
1521,132847.83321368677
1522,175878.9585353269
1523,115764.22276012243
1524,126289.60468468767
1525,117929.05006619908
1526,110795.64382095881
1527,109676.78208529323
1528,132240.6473697101
1529,157137.92481791382
1530,190830.01196674546
1531,109580.96826828478
1532,94433.1659921267
1533,148987.3575528133
1534,125002.87591810971
1535,145620.3739649734
1536,105484.18451314034
1537,58513.80092919504
1538,151816.5941784688
1539,193300.8974226267
1540,86716.78425519058
1541,139220.74722894272
1542,149815.30995366286
1543,176684.25568388694
1544,86694.79477781228
1545,118005.90429149906
1546,138586.51589331133
1547,133097.69274501855
1548,140754.2808254713
1549,120967.775172605
1550,138859.9674110157
1551,103529.25889001688
1552,140050.07512343023
1553,144333.38652180132
1554,116462.81173461117
1555,164471.0531746593
1556,84110.83720982881
1557,118806.5793291875
1558,104721.79174721603
1559,61391.35853626832
1560,129958.94649352106
1561,119116.57021117462
1562,129460.31298959111
1563,119894.05575109787
1564,157910.5848984745
1565,155859.25417428275
1566,237138.21407645938
1567,78735.94333214716
1568,243587.17724537634
1569,133624.39519642325
1570,132488.76748797542
1571,110483.56026294616
1572,139114.93469638197
1573,224235.2275369396
1574,118637.0360707558
1575,243861.03824054252
1576,234120.7843311302
1577,175750.7104222592
1578,147745.25156401825
1579,154439.52178247995
1580,195667.45621646906
1581,157466.06448494623
1582,127361.27241807556
1583,282998.4490743746
1584,214823.47283568
1585,134072.47923630784
1586,73890.84493431613
1587,112608.92741044544
1588,147692.81609811643
1589,97912.38786963829
1590,128229.33381228465
1591,92577.2587943225
1592,119016.13118944307
1593,131681.47226865578
1594,127482.93235192735
1595,112363.06502460696
1596,212053.32203799003
1597,206192.56531526666
1598,233271.90192952505
1599,167280.63520149796
1600,159455.96378693215
1601,65504.84840058101
1602,118036.79479211969
1603,66195.38120876624
1604,261487.2386259717
1605,231298.27513761734
1606,165745.90037318584
1607,176898.96371052923
1608,218778.25922017626
1609,180654.54607135017
1610,154776.130621471
1611,136453.09304245398
1612,171996.63250169164
1613,164605.54525928738
1614,124805.96751086928
1615,91680.56908722618
1616,78699.57160478701
1617,91803.29630630315
1618,138589.530264665
1619,142138.37003244387
1620,147214.00965025157
1621,131945.3687523273
1622,145822.16804597146
1623,247503.8592181576
1624,203906.29370691156
1625,115044.9434428261
1626,170824.97150336968
1627,194782.08957789044
1628,275343.5262528717
1629,183946.93201651628
1630,351054.08711911005
1631,237856.87948624778
1632,254016.22601021838
1633,175835.69703318158
1634,186015.89469933277
1635,172767.49351872745
1636,151928.78238273322
1637,205852.79511615878
1638,179774.49107151222
1639,187310.2766120326
1640,241965.8378042285
1641,182487.28354286266
1642,253605.20533035157
1643,223019.875095765
1644,248038.43231790874
1645,197693.84135549393
1646,156580.23560798948
1647,160440.35457795998
1648,128737.14631461528
1649,140535.6460669139
1650,114305.47412770744
1651,118201.94905021404
1652,97412.97705440361
1653,98812.43635566649
1654,144315.14656797552
1655,127244.45787949106
1656,140952.9496286592
1657,150069.96509552057
1658,146757.197174043
1659,115851.78130560233
1660,154756.81022157636
1661,434328.5217846346
1662,398286.7002970792
1663,378569.111908825
1664,502831.0721374695
1665,312217.85042695026
1666,314423.46994073165
1667,379152.27621665556
1668,349748.01428412716
1669,319442.29144181707
1670,354028.9985120835
1671,270563.24076350016
1672,421342.13354402664
1673,292838.20448116615
1674,241264.7506970284
1675,202546.2623420578
1676,197677.0676775283
1677,224219.73542536533
1678,458372.8330524842
1679,402485.01187218726
1680,323110.2321874619
1681,249767.54379646332
1682,331269.3933390676
1683,187827.82582363536
1684,175383.71044129436
1685,173160.841826234
1686,167678.19543248627
1687,171129.1762539939
1688,185687.6446323316
1689,190584.27887167459
1690,195027.60207589538
1691,185248.37622038423
1692,255823.3880607422
1693,172459.75951258544
1694,184663.02525634732
1695,168722.48394260288
1696,278070.79409282847
1697,173506.44829681105
1698,344303.3420497102
